# Capture histories exported from 'ms.ch' 
# Mon Apr 05 7:09:37 AM 2021 
# Session ID Occasion Detector Sex 
EShores_2016 Leopard_African_Female_5_25 1 EShores_2016_Station10 1
EShores_2016 Leopard_African_Female_5_25 1 EShores_2016_Station12 1
EShores_2016 Leopard_African_Female_5_25 1 EShores_2016_Station13 1
EShores_2016 Leopard_African_Female_5_25 1 EShores_2016_Station14 1
EShores_2016 Leopard_African_Female_5_25 1 EShores_2016_Station16 1
EShores_2016 Leopard_African_Female_5_25 1 EShores_2016_Station17 1
EShores_2016 Leopard_African_Female_5_29 1 EShores_2016_Station20 1
EShores_2016 Leopard_African_Female_5_29 1 EShores_2016_Station20 1
EShores_2016 Leopard_African_Female_5_29 1 EShores_2016_Station20 1
EShores_2016 Leopard_African_Female_5_30 1 EShores_2016_Station28 1
EShores_2016 Leopard_African_Female_5_30 1 EShores_2016_Station28 1
EShores_2016 Leopard_African_Female_5_30 1 EShores_2016_Station28 1
EShores_2016 Leopard_African_Female_5_30 1 EShores_2016_Station31 1
EShores_2016 Leopard_African_Female_5_31 1 EShores_2016_Station40 1
EShores_2016 Leopard_African_Female_5_32 1 EShores_2016_Station17 1
EShores_2016 Leopard_African_Female_5_32 1 EShores_2016_Station19 1
EShores_2016 Leopard_African_Female_5_32 1 EShores_2016_Station19 1
EShores_2016 Leopard_African_Female_5_32 1 EShores_2016_Station24 1
EShores_2016 Leopard_African_Female_5_32 1 EShores_2016_Station24 1
EShores_2016 Leopard_African_Female_5_32 1 EShores_2016_Station25 1
EShores_2016 Leopard_African_Female_5_35 1 EShores_2016_Station24 1
EShores_2016 Leopard_African_Female_5_35 1 EShores_2016_Station24 1
EShores_2016 Leopard_African_Female_5_35 1 EShores_2016_Station25 1
EShores_2016 Leopard_African_Female_5_35 1 EShores_2016_Station26 1
EShores_2016 Leopard_African_Female_5_35 1 EShores_2016_Station26 1
EShores_2016 Leopard_African_Female_5_35 1 EShores_2016_Station27 1
EShores_2016 Leopard_African_Female_5_35 1 EShores_2016_Station34 1
EShores_2016 Leopard_African_Female_5_35 1 EShores_2016_Station35 1
EShores_2016 Leopard_African_Female_5_35 1 EShores_2016_Station35 1
EShores_2016 Leopard_African_Female_5_35 1 EShores_2016_Station35 1
EShores_2016 Leopard_African_Female_5_41 1 EShores_2016_Station31 1
EShores_2016 Leopard_African_Female_5_41 1 EShores_2016_Station33 1
EShores_2016 Leopard_African_Female_5_41 1 EShores_2016_Station33 1
EShores_2016 Leopard_African_Female_5_49 1 EShores_2016_Station36 1
EShores_2016 Leopard_African_Female_5_49 1 EShores_2016_Station37 1
EShores_2016 Leopard_African_Female_5_9 1 EShores_2016_Station6 1
EShores_2016 Leopard_African_Female_5_9 1 EShores_2016_Station6 1
EShores_2016 Leopard_African_Female_5_9 1 EShores_2016_Station6 1
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station14 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station14 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station15 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station15 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station15 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station16 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station4 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station4 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station4 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station6 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station7 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station7 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station7 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station8 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station8 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station8 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station8 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station9 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station9 2
EShores_2016 Leopard_African_Male_5_104 1 EShores_2016_Station9 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station16 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station17 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station17 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station17 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station18 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station18 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station19 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station24 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station24 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station24 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station26 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station26 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station26 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station27 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station34 2
EShores_2016 Leopard_African_Male_5_27 1 EShores_2016_Station36 2
EShores_2016 Leopard_African_Male_5_3 1 EShores_2016_Station10 2
